"variable","value","ROPE_lower","ROPE_upper","ROPE_prec","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","rmse"
"TIA[31,7]",3.431,2.831,4.031,1.2,3.4361578658625,3.4282997,0.475353806610552,0.47248727358,2.668454255,4.234358685,0.999782728869949,7853.91985456626,5958.59463231681,0.475352079919942
"TIA[31,8]",3.281,2.681,3.881,1.2,3.43533684995,3.4291726,0.474119846647602,0.46751752425,2.661639645,4.218866085,0.999942041380292,7929.78684382422,6753.62613673265,0.498579375359642
"TIA[31,9]",3.441,2.841,4.041,1.2,3.4865710411125,3.4832196,0.47971868005069,0.47802226416,2.708498265,4.29306795,0.999782032730402,7782.62618612555,6339.6844004545,0.481848488143478
"TIA[31,10]",3.101,2.501,3.701,1.2,3.4683149225375,3.46424105,0.472521420018507,0.47097428028,2.69662852,4.256843355,0.999956752428657,7345.56255796971,7116.64557648778,0.598472083838076
"TIA[32,1]",1.383,0.783,1.983,1.2,1.19126459502404,1.1942393,0.441596645726248,0.4417377048,0.4702972695,1.923808425,1.00032917871931,7883.70663872611,6803.15724022583,0.481399716543623
"TIA[32,2]",1.357,0.757,1.957,1.2,1.18203403078512,1.18298045,0.440042307515345,0.447685836696,0.4672807705,1.909507255,1.00018892612577,7877.27951263583,6673.13539712443,0.473525203270829
"TIA[32,3]",1.311,0.711,1.911,1.2,1.23056561880374,1.22856145,0.435056608336633,0.438300496851,0.5212288035,1.952554285,1.00023085928255,7805.77008536069,6717.38887325149,0.442402851317938
"TIA[32,4]",1.123,0.823,1.423,0.6,1.23922871461309,1.23978025,0.441266197619318,0.426445323318,0.515447137,1.97684979,1.00022506131191,8257.56426892477,6550.59317300097,0.45629007416322
"TIA[32,5]",1.31,0.71,1.91,1.2,1.2673355322131,1.2649455,0.439022877186394,0.444553347525,0.5630491805,1.994087675,1.00015988776315,7604.12461786039,6499.74631891621,0.441063771884206
"TIA[32,6]",1.058,0.758,1.358,0.6,1.21830170708558,1.214548,0.437577367455782,0.429196939962,0.5016509465,1.952387465,1.00001512239992,7599.98907767847,6587.13352279114,0.465989973668982
"TIA[32,7]",1.535,0.935,2.135,1.2,1.17648874583359,1.17586745,0.439639581130311,0.435507730644,0.458282053,1.9132041,1.00025701379269,7789.58545235404,6796.04344476549,0.567264594603125
"TIA[32,8]",1.042,0.742,1.342,0.6,1.26027066870683,1.24984325,0.439312725333204,0.4431261597,0.5461334105,1.97857098,1.00102751576589,7781.23975592766,6546.05133837476,0.490523833262546
"TIA[32,9]",1.345,0.745,1.945,1.2,1.25766590293314,1.2593287,0.432208678765616,0.437952530631,0.5503702315,1.97451696,1.00050786822317,7516.69457683404,6666.11774717744,0.440917493379491
"TIA[32,10]",1.155,0.855,1.455,0.6,1.29231406006533,1.27829115,0.444147491916964,0.448614870921,0.5900759425,2.041566665,1.0002408675064,7632.91203074227,6692.5110245019,0.464862869342598
"TIA[33,1]",1.462,0.862,2.062,1.2,1.16627531179705,1.16122195,0.444235692958979,0.448636205535,0.4431667285,1.907350195,1.00016756029895,8203.44946283319,6360.70566336294,0.533641990422993
"TIA[33,2]",1.809,1.209,2.409,1.2,1.34612996608576,1.3392978,0.449549231491127,0.4460016624,0.6163615515,2.089639775,1.00010306016041,7810.2221719781,6477.65759984349,0.645227028274613
"TIA[33,3]",1.701,1.101,2.301,1.2,1.22830356114542,1.22485085,0.440899211243506,0.435853843614,0.4998199485,1.963320455,1.00012139147695,8209.18863835473,6352.25339322632,0.646382037781553
"TIA[33,4]",1.924,1.324,2.524,1.2,1.33542602915861,1.33041345,0.447882273658407,0.44538882969,0.6087892365,2.074608625,1.00037051372774,7834.12875974036,6423.4096915063,0.739589599300207
"TIA[33,5]",1.818,1.218,2.418,1.2,1.21485551694617,1.21243675,0.439243296067972,0.43576549548,0.4947103725,1.93981663,1.00016317975792,8135.67555987952,6272.99060979916,0.746119175296266
"TIA[33,6]",1.354,0.754,1.954,1.2,1.19441590810803,1.19069365,0.442992167905178,0.44054035704,0.4683072735,1.925912935,0.999958933687592,8221.42135874766,6619.99431886494,0.470833954757633
"TIA[33,7]",1.709,1.109,2.309,1.2,1.20054699052899,1.19779515,0.440520915815259,0.44324832594,0.4783607285,1.92918898,1.00046966153025,8203.80636797423,6519.64601065377,0.672724968152795
"TIA[33,8]",1.679,1.079,2.279,1.2,1.3874842000662,1.38009515,0.44664702375868,0.44469526941,0.6717333035,2.130068475,1.00046171425776,7327.30067656561,6737.18464257728,0.533338624841714
"TIA[33,9]",1.658,1.058,2.258,1.2,1.1705266568185,1.16928035,0.444091198668389,0.444442478697,0.4425808745,1.905140835,1.00010899607724,8291.79190546017,6967.98791441043,0.659410798306476
"TIA[33,10]",1.595,0.995,2.195,1.2,1.30011898614615,1.2953789,0.439081112531941,0.43425865497,0.5784951385,2.0265772,1.00021520668314,8040.02307253276,6172.70882855509,0.528888397193434
"TIA[34,1]",-0.332,-0.482,-0.182,0.3,-0.394971983784415,-0.385873595,0.448810823290331,0.452940334182,-1.137475655,0.3294332235,1.0002497968066,7668.85419705306,6417.38052169013,0.453179265798759
"TIA[34,2]",-0.018,-0.068,0.032,0.1,-0.327236582940356,-0.323783705,0.441895231751639,0.4493490677844,-1.05090211,0.4030272665,1.00037429355042,7349.72698655229,6210.4202752016,0.539327591681514
"TIA[34,3]",-0.481,-0.631,-0.331,0.3,-0.251842574308254,-0.24884822,0.445451954586176,0.4485017322324,-0.9743397525,0.482393306,1.00057545857213,7188.0773773735,6672.31798527509,0.500914929068632
"TIA[34,4]",-0.306,-0.456,-0.156,0.3,-0.210602913938309,-0.21473174,0.437211611275915,0.440468843829,-0.9249493355,0.520209516499999,1.00026066555647,6865.51267557121,6396.57231196328,0.447471454748137
"TIA[34,5]",-0.136,-0.236,-0.036,0.2,-0.283367507792865,-0.28431001,0.436877557500836,0.443694010326,-1.001280545,0.433228801499999,1.00026904517736,7353.88699262738,5969.03956406813,0.461037227185555
"TIA[34,6]",-0.728,-0.928,-0.528,0.4,-0.282807753029187,-0.281682255,0.441164343474531,0.443679006414,-1.01357974,0.438649885999999,1.00045680552306,7511.61812239007,6431.043354574,0.626735818721885
"TIA[34,7]",-0.279,-0.429,-0.129,0.3,-0.165482669521555,-0.164658615,0.443305194339697,0.437137686258,-0.878579499,0.564893364,1.0005315803008,7061.90927820839,6373.12023270962,0.457581812040856
"TIA[34,8]",-0.441,-0.591,-0.291,0.3,-0.331344197058598,-0.324268155,0.437922323827463,0.4377620847306,-1.051694465,0.3828942505,1.0003205278546,7372.33435534792,5963.78207340252,0.451415977597111
"TIA[34,9]",-0.099,-0.149,-0.049,0.1,-0.209924989738356,-0.21225105,0.441272035474344,0.436150993719,-0.939772053,0.524261746999999,1.00102905937606,6906.41696890078,5540.47489805162,0.454973650351275
"TIA[34,10]",-0.176,-0.276,-0.076,0.2,-0.18264268737546,-0.190390945,0.451485579342045,0.448366520595,-0.916412944,0.567236082499999,1.00036030627625,7362.25832320664,6637.02649866851,0.451506227804053
"TIA[35,1]",1.807,1.207,2.407,1.2,1.997737961145,1.99889155,0.447569589099753,0.44746313535,1.255509385,2.732988365,1.00039806783941,8060.55136249289,6935.05293908965,0.486492001056068
"TIA[35,2]",1.93,1.33,2.53,1.2,2.08865730533625,2.0874798,0.449477954799614,0.45114376398,1.35509848,2.816059795,1.00028462348035,7973.28775775979,7113.86484305847,0.476631218641229
"TIA[35,3]",1.949,1.349,2.549,1.2,2.26196533992625,2.25626465,0.464290632916974,0.45885165312,1.50914798,3.02591941,1.00030895516576,7518.24863846847,5782.3546740875,0.559898339063102
"TIA[35,4]",1.957,1.357,2.557,1.2,2.04997177761375,2.0520153,0.44563292770713,0.44213830332,1.315265835,2.782517065,1.00017126909196,8112.66545914445,6178.34772040335,0.455200652571157
"TIA[35,5]",2.047,1.447,2.647,1.2,2.17730862334625,2.17164135,0.454249596908621,0.45686778606,1.44413467,2.93406076,1.00025849593711,8032.79850710856,6350.05469440918,0.472543374488526
"TIA[35,6]",1.896,1.296,2.496,1.2,2.14530852491125,2.1445925,0.446808463212305,0.44566778088,1.421617855,2.88069259,1.00029359065063,8028.0185237093,6710.08378927933,0.511632278757132
"TIA[35,7]",1.799,1.199,2.399,1.2,2.062469727285,2.0576355,0.449439148195125,0.45173887962,1.330270735,2.800402445,1.00024169054792,7832.09652228138,6901.96382182542,0.520947785946443
"TIA[35,8]",2.094,1.494,2.694,1.2,2.1189589027675,2.117314,0.447741914592398,0.44185653519,1.384032025,2.85341952,1.0002627979974,8068.34775779995,6748.72021036835,0.448409087561195
"TIA[35,9]",2.114,1.514,2.714,1.2,2.0598451217525,2.06335315,0.452131340218212,0.44821088466,1.29899484,2.79466421,0.999971431738119,8645.42850484959,6809.04643319711,0.455334983064027
"TIA[35,10]",1.615,1.015,2.215,1.2,2.03022068505875,2.0295704,0.449045041629163,0.44546896422,1.3046695,2.76196484,1.00001325755918,8363.55901299654,6598.10299983151,0.611575393170146
